method_id,method_label,seed_type,seed,value_percent,source_scope
baseline,Official\nbaseline,official,official,49.2,Original LeWM baseline; no post-training seed
joint3,Joint-Continue\n3ep,fine_tuning,0,52.8,Mean over eval seeds 0-4
joint3,Joint-Continue\n3ep,fine_tuning,42,54.4,Mean over eval seeds 0-4
joint3,Joint-Continue\n3ep,fine_tuning,625,52.0,Mean over eval seeds 0-4
globalft50,Global-FT\n50ep,fine_tuning,0,59.2,Mean over eval seeds 0-4
globalft50,Global-FT\n50ep,fine_tuning,42,58.4,Mean over eval seeds 0-4
globalft50,Global-FT\n50ep,fine_tuning,625,56.8,Mean over eval seeds 0-4
random,Random-Voronoi\nK3-50,fine_tuning,0,58.93333333333333,Mean over 3 partition seeds x 5 eval seeds
random,Random-Voronoi\nK3-50,fine_tuning,42,59.06666666666667,Mean over 3 partition seeds x 5 eval seeds
random,Random-Voronoi\nK3-50,fine_tuning,625,60.0,Mean over 3 partition seeds x 5 eval seeds
kmeans,K-means++\nK3-50,fine_tuning,0,58.266666666666666,Mean over 3 outer seeds x 5 eval seeds
kmeans,K-means++\nK3-50,fine_tuning,42,59.6,Mean over 3 outer seeds x 5 eval seeds
kmeans,K-means++\nK3-50,fine_tuning,625,57.46666666666667,Mean over 3 outer seeds x 5 eval seeds
spectral,Spectral\nK3-50,fine_tuning,0,61.6,Mean over 3 partition seeds x 5 eval seeds
spectral,Spectral\nK3-50,fine_tuning,42,61.86666666666667,Mean over 3 partition seeds x 5 eval seeds
spectral,Spectral\nK3-50,fine_tuning,625,60.666666666666664,Mean over 3 partition seeds x 5 eval seeds
rooms3,Human partition\nrooms3-50,fine_tuning,0,58.8,Mean over eval seeds 0-4
rooms3,Human partition\nrooms3-50,fine_tuning,42,59.199999999999996,Mean over eval seeds 0-4
rooms3,Human partition\nrooms3-50,fine_tuning,625,61.6,Mean over eval seeds 0-4
