metric,complexity_level,tworoom,pusht,reacher,cube,status,reason,source_csv
normalized_cluster_entropy,0,0.9945418203584672,0.9768335369887396,0.9996873419745684,0.9792436686451108,rejected,Reacher is most balanced but regional mean is negative.,basic_partition_metrics.csv
eigengap_after_k,0,7.57351608127177e-05,0.0015123212105939,0.000117269783873,0.0010843552256641,rejected,Does not order or separate K=4 regional advantage.,basic_partition_metrics.csv
prototype_distance_ratio,1,1.0659244241831092,1.115630452761566,1.092723562524254,1.1040091286519766,rejected,PushT is highest and Reacher exceeds TwoRoom/Cube ordering.,basic_partition_metrics.csv
knn_purity,2,0.9839355555555556,0.93173,0.9699766666666668,0.9542511111111112,rejected,Negative Reacher has higher purity than positive Cube.,knn_metrics.csv
margin_radius_ratio_mean,2,10.072081565856934,1.959821621576945,9.67984676361084,2.86256734530131,rejected,Negative Reacher is nearly as separated as TwoRoom and exceeds Cube.,margin_radius_metrics.csv
tangent_contrast_mean_d8,3,0.461529468413752,0.4640927479178518,0.477321698974654,0.4548653526589783,rejected,Negative Reacher has no smaller tangent contrast than Cube.,tangent_curvature_metrics.csv
curvature_tail_mean_d8,3,0.0003864624929705,0.0139766064324749,0.0003116288330041,0.0124351443739995,rejected,Cannot jointly distinguish TwoRoom from Reacher.,tangent_curvature_metrics.csv
flow_persistence_h10,3,0.7489451744158538,0.8777498220053416,0.8701722397994035,0.9163630473539564,rejected,Positive TwoRoom has the lowest persistence.,flow_persistence_metrics.csv
latent_velocity_eta2,4,0.0004019096921638,0.0031784830929591,6.048490469229544e-05,0.0002029244901707,rejected,PushT is largest despite only a near-tie advantage; action confounded.,latent_velocity_metrics.csv
action_residual_velocity_eta2,4,0.0004375108679881,0.0032273636857766,6.048277954820045e-05,0.0002079857589057,rejected,Separates the only negative K=4 task but has weak magnitude ordering and coarse mean-only dynamics.,action_residual_velocity_metrics.csv
affine_response_contrast_ratio,5,0.0064676867321389,0.0223658517566033,0.0058064760677493,0.0317988156590159,promising_but_weaker,All positive point-estimate tasks exceed Reacher; TwoRoom-Reacher margin is small.,affine_response_contrast.csv
minimum_pairwise_response,5,0.0152651583457387,0.053901944012523,0.0113855959592217,0.0730114973048147,promising_k4,Weakest-link contrast enlarges the TwoRoom-Reacher separation and Check 1 filters PushT.,pairwise_response_summary.csv
pairwise_uniformity_min_over_mean,5,0.8945408336157087,0.8865559813183158,0.7348043755523719,0.8634930766953542,promising_k4,Reacher is uniquely dominated by a few strong region pairs; all other tasks are more uniformly K-way.,pairwise_response_summary.csv
response_centroid_spearman,5,-0.2,-0.0666666666666666,-0.1619047619047619,0.4476190476190476,rejected,Pairwise geometry-response alignment is not directionally consistent.,pairwise_response_summary.csv
response_boundary_spearman,5,-0.6380952380952382,0.1809523809523809,0.7142857142857144,-0.6952380952380953,rejected,Boundary-distance alignment has inconsistent and counterintuitive signs.,pairwise_response_summary.csv
boundary_min_jacobian_bures_distance,10,0.4821620469144163,0.4005624940485611,0.6056124286432526,0.5964573076062206,rejected,Boundary-local estimate is noisy and Reacher exceeds Cube/TwoRoom on some seeds.,k4_jacobian_seed_summary.csv
jacobian_bures_distance,9,0.6983689024049657,0.5342447373342419,0.3821841143876752,0.6357115942898487,validated_fixed_k2_k3_k4,"At each fixed K=2,3,4, all three partition seeds separate clear Regional wins from Global/inconclusive tasks without requiring Check 1.",k4_jacobian_seed_summary.csv
jacobian_cosine_distance,6,0.9377689710133068,0.5289133379640867,0.8982254854082483,0.7547817480774741,rejected,Reacher exceeds Cube; no K=4 positive/negative separation.,k4_jacobian_seed_summary.csv
jacobian_log_scale_distance,7,0.0082839824923101,0.0176815523817159,0.0167323323848969,0.021581781538089,rejected,TwoRoom is near zero; scale change is not necessary for regional advantage.,k4_jacobian_seed_summary.csv
jacobian_subspace_chordal_distance,8,0.925105615590794,0.8694187569114828,0.8525273475357764,0.8826637869232262,mixed_fixed_k_validation,"Works with Check 1 at K=2 and K=4, but fails at K=3 because Reacher exceeds Cube.",k4_jacobian_seed_summary.csv
